user_id,user_index,rank,story_id,headline,source_file,predicted_category,category_confidence,score,postprocess
U245228,161368,1,666456,ఇప్పట్లో ధోనీ రిటైర్ అవ్వడు : ఎమ్మెస్కే,val-00000-of-00001.parquet,sports,0.9989833,10.522729873657227,headline_dedup
U245228,161368,2,540597,వెస్టిండీస్ పర్యటనకు భారత జట్టు ప్రకటన,val-00000-of-00001.parquet,sports,0.99895525,10.522516250610352,headline_dedup
U245228,161368,3,2529927,ఆకాశ్దీప్ ఆడేనా?,train-00000-of-00001.parquet,sports,0.99894875,10.522470474243164,headline_dedup
U245228,161368,4,2542932,రోహిత్కు ముందే చెప్పేశారా?,test-00000-of-00001.parquet,sports,0.9988475,10.521368980407715,headline_dedup
U245228,161368,5,2509585, బుమ్రాకే పగ్గాలు!,train-00000-of-00001.parquet,sports,0.99883145,10.521023750305176,headline_dedup
U245228,161368,6,2544674,‘రిజర్వ్’ పేస్లో ,test-00000-of-00001.parquet,sports,0.9988392,10.520816802978516,headline_dedup
U245228,161368,7,649796,ప్రపంచకప్ జట్టులో రహానె ఉండాలి,val-00000-of-00001.parquet,sports,0.99882334,10.520792961120605,headline_dedup
U245228,161368,8,2533304,రిటైర్మెంట్కిదా సమయం: సన్నీ,train-00000-of-00001.parquet,sports,0.998804,10.520634651184082,headline_dedup
U245228,161368,9,465999,టీమిండియాలో ప్రసిద్ధ్ కృష్ణ,val-00000-of-00001.parquet,sports,0.9987791,10.520575523376465,headline_dedup
U245228,161368,10,2534474,"అశ్విన్ బాటలోరోహిత్, కోహ్లీ?",train-00000-of-00001.parquet,sports,0.99877506,10.520368576049805,headline_dedup
U539584,488429,1,2513068,హాట్ హిట్స్,train-00000-of-00001.parquet,music,0.969014,8.14853286743164,headline_dedup
U539584,488429,2,2515611,ఆమె కూడా భర్తకు విడాకులు ఇచ్చింది,train-00000-of-00001.parquet,music,0.96360785,8.104691505432129,headline_dedup
U539584,488429,3,330131,‘జగమే తంత్రం’ నుంచి రకిట రకిట పాట విడుదల,val-00000-of-00001.parquet,music,0.9075281,8.049394607543945,headline_dedup
U539584,488429,4,220345,మహేశ్ మూవీ మ్యూజికల్ సెషన్ ప్రారంభం,val-00000-of-00001.parquet,music,0.9296795,8.006507873535156,headline_dedup
U539584,488429,5,690137,’టక్ జగదీష్‘ సినిమా నుంచి పాట విడుదల,val-00000-of-00001.parquet,music,0.93008316,8.000421524047852,headline_dedup
U539584,488429,6,317164,‘పరిచయం’ రెండో పాట విడుదల,val-00000-of-00001.parquet,music,0.9247973,7.963109493255615,headline_dedup
U539584,488429,7,806492,' మార్జావాన్ ' నుండి ఏక్ తోహ్ కుమ్ జిందగాని సాంగ్ విడుదల,val-00000-of-00001.parquet,music,0.95117456,7.946406841278076,headline_dedup
U539584,488429,8,624466,70 లక్షల వ్యూస్ దాటిన ‘అమ్మడు… లెట్స్ డూ కుమ్ముడూ’ సాంగ్,val-00000-of-00001.parquet,music,0.9375561,7.939177513122559,headline_dedup
U539584,488429,9,794716,""" ప్రతి రోజు పండగే "" నుండి లిరికల్ సాంగ్ ..",val-00000-of-00001.parquet,music,0.9485944,7.938422679901123,headline_dedup
U539584,488429,10,790660,స్పెషల్ సాంగ్ లో యాంకర్ అనసూయ,val-00000-of-00001.parquet,music,0.93512636,7.931217670440674,headline_dedup
U69259,658435,1,2528868,జమిలిపై ముందుకు!,train-00000-of-00001.parquet,newspolitics,0.9746055,9.738265991210938,headline_dedup
U69259,658435,2,2517765,పార్లమెంటు ముందుకు,train-00000-of-00001.parquet,newspolitics,0.9662837,9.71558666229248,headline_dedup
U69259,658435,3,2517732,పార్లమెంటు ముందుకు 16 బిల్లులు!,train-00000-of-00001.parquet,newspolitics,0.9604872,9.704483985900879,headline_dedup
U69259,658435,4,2527970,ఏపీ కేబినెట్లోకి నాగబాబు!,train-00000-of-00001.parquet,newspolitics,0.9562601,9.697700500488281,headline_dedup
U69259,658435,5,2503356,5న రాష్ట్రానికి రాహుల్,train-00000-of-00001.parquet,newspolitics,0.9639071,9.691366195678711,headline_dedup
U69259,658435,6,2505249,25 నుంచి పార్లమెంట్  శీతాకాల సమావేశాలు,train-00000-of-00001.parquet,newspolitics,0.9595016,9.67296028137207,headline_dedup
U69259,658435,7,2505621,25 నుంచి పార్లమెంటు శీతాకాల సమావేశాలు,train-00000-of-00001.parquet,newspolitics,0.9763945,9.659147262573242,headline_dedup
U69259,658435,8,2490125,ఎన్సీకి నలుగురు స్వతంత్రుల మద్దతు,train-00000-of-00001.parquet,newspolitics,0.9572034,9.653377532958984,headline_dedup
U69259,658435,9,2481371,ఆర్.కృష్ణయ్య గుడ్బై,train-00000-of-00001.parquet,newspolitics,0.92816865,9.640768051147461,headline_dedup
U69259,658435,10,2509336,మండలి ముద్దు.. సభ వద్దు,train-00000-of-00001.parquet,newspolitics,0.94534415,9.639778137207031,headline_dedup
